mario.rossi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Rossi,1988/07/22,Bologna,1111111111
mario.verdi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Verdi,1988/05/12,Parma,2222222222
mario.aranci@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Aranci,1987/03/10,Padova,3333333333
mario.viola@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Viola,1990/02/08,Bologna,1111111222
mario.gialli@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Gialli,1992/05/06,Brescia,2222333333
mario.bruni@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Bruni,1995/03/23,Pescara,1111222233
mario.bianchi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Bianchi,1991/02/21,Trieste,1111222233
mario.azzurri@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Mario,Azzurri,1995/03/11,Brescia,1111222233
giovanni.rossi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Rossi,1982/07/22,Bologna,1111111111
giovanni.verdi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Verdi,1984/05/12,Parma,2222222222
giovanni.aranci@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Aranci,1997/03/10,Padova,3333333333
giovanni.viola@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Viola,1992/02/08,Bologna,1111111222
giovanni.gialli@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Gialli,1991/05/06,Brescia,2222333333
giovanni.bruni@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Bruni,1983/03/23,Pescara,1111222233
giovanni.bianchi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Bianchi,1977/02/21,Trieste,1111222233
giovanni.azzurri@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Giovanni,Azzurri,1959/03/11,Brescia,1111222233
marco.rossi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Rossi,1988/07/22,Bologna,1111111111
marco.verdi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Verdi,1988/05/12,Parma,2222222222
marco.aranci@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Aranci,1987/03/10,Padova,3333333333
marco.viola@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Viola,1990/02/08,Bologna,1111111222
marco.gialli@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Gialli,1992/05/06,Brescia,2222333333
marco.bruni@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Bruni,1995/03/23,Pescara,1111222233
marco.bianchi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Bianchi,1991/02/21,Trieste,1111222233
marco.azzurri@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Marco,Azzurri,1995/03/11,Brescia,1111222233
antonio.rossi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Rossi,1982/07/22,Bologna,1111111111
antonio.verdi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Verdi,1984/05/12,Parma,2222222222
antonio.aranci@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Aranci,1997/03/10,Padova,3333333333
antonio.viola@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Viola,1992/02/08,Bologna,1111111222
antonio.gialli@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Gialli,1991/05/06,Brescia,2222333333
antonio.bruni@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Bruni,1983/03/23,Pescara,1111222233
antonio.bianchi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Bianchi,1977/02/21,Trieste,1111222233
antonio.azzurri@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Antonio,Azzurri,1959/03/11,Brescia,1111222233
anna.bianchi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Bianchi,1977/02/21,Trieste,1111222233
anna.azzurri@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Azzurri,1959/03/11,Brescia,1111222233
anna.rossi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Rossi,1988/07/22,Bologna,1111111111
anna.verdi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Verdi,1988/05/12,Parma,2222222222
anna.aranci@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Aranci,1987/03/10,Padova,3333333333
anna.viola@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Viola,1990/02/08,Bologna,1111111222
anna.gialli@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Gialli,1992/05/06,Brescia,2222333333
anna.bruni@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Bruni,1995/03/23,Pescara,1111222233
anna.grigi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Anna,Grigi,1998/09/19,Bologna,1111223344
elena.rossi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Elena,Rossi,1982/07/22,Bologna,1111111111
elena.verdi@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Elena,Verdi,1984/05/12,Parma,2222222222
elena.aranci@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Elena,Aranci,1997/03/10,Padova,3333333333
elena.viola@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Elena,Viola,1992/02/08,Bologna,1111111222
elena.gialli@unibo.it,482c811da5d5b4bc6d497ffa98491e38,Elena,Gialli,1991/05/06,Brescia,2222333333
