anna.verdi@unibo.it,Direttore,Biblioteca Universitaria di Bologna
anna.aranci@unibo.it,Direttore,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
anna.viola@unibo.it,Docente,Biblioteca Universitaria di Bologna
anna.gialli@unibo.it,Manager,Biblioteca Universitaria di Bologna
anna.bruni@unibo.it,Dirigente,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
anna.grigi@unibo.it,Direttore,Biblioteca Universitaria di Bologna
elena.rossi@unibo.it,Docente,Biblioteca Universitaria di Bologna
elena.verdi@unibo.it,Dirigente,Biblioteca Universitaria di Bologna
elena.aranci@unibo.it,Manager,Biblioteca Universitaria di Bologna
elena.viola@unibo.it,Direttore,Biblioteca Universitaria di Bologna
elena.gialli@unibo.it,Direttore,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
elena.bruni@unibo.it,Dirigiente,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
elena.bianchi@unibo.it,Direttore,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
elena.azzurri@unibo.it,Manager,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
elena.grigi@unibo.it,Direttore,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
